__Recipe,,Table 1,Array 1,Table 3,Table 4,Table 5,Ingredient,Category,Form,ASU,A,T.Cost,Unitary cost,C/oz,RECIPE NAME:,Missing purchase quantity of ingredient,Missing unitary cost of ingredient,0,-,D,Chirashi sushi,Sashimi platter,Bonsai Kaiko,Bonsai Sushi 12,Bonsai Rolls 20,BENTO 15,BENTO 18,Blu fin toro.S,Salmon.S,Tuna.S,Hamachi,Tarta Vasca,Mochis,Chocolate Cake,Key lime Pie,Monte Fuji,Edamame,Mashed Poatatoes,Truffle Fries,Fried Rice,Tenderloin Kuban,Skirt Steak,Lamb Osoducco,Salmon Reisui,Sea food katsura,Gunkan Taco,Gunkan Sake,Gunkan Ebi,Gunkan Kani,Sushi Toki,Gunkan uni,Gunkan Ikura,Gukan Arcoiris,Hotate Trufado,Negui Hama,Iku sake,Makano,Pesca Blanca,Blu fin toro,Tuna,Hand Roll Saslmon,Hand Roll Hamachi,Hand Roll Tuna,Passion roll,Butter Truffle Roll,Pangora Especial,Cumbaya,Spicy tuna,Samurai ebi,Samurai Salmon,Lobster,Fire roll crab,Tokio,Guayas,Noe Special,Special Tuna,Nubori,Kanebi,Ebi Zu,Cevichihi,Kani Kiuri Maki,Tuna Light,Kani Maguro,Sake Kani Special,Special Philadelphia,Special California,Eel Especial,Teka Maki,Sake maki,Piladelphia,Calirfornia,Hiyashi Wakame,Kani Seaweed,Pork tenderloin Ramen,Beef tenderloin Ramen,Miso Soup,Kamasuki Soup,Sumashi Soup,Pork Tacos,Truffled Dompling,Mizu Tako,Pangora By Fay Tu,Shrimp By Fay Tu,Octopus By Fay Tu,Sake Foie,Tuna Foie,Fresh Oysters,Maki Tartar,Tuna Tartar,Toni Doki,Hamachi Jalapeño,Noe Tataki
Fried Rice,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenderloin Kubai,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,Main Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenderloin Kubai,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenderloin Kubai,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skirt Steak,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skirt Steak,,,,,,,,,,,,,,,RECIPE,,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skirt Steak,INGREDIENT,,,,,,,,,,,,,,QTY,,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb osoducco,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb osoducco,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb osoducco,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon Reisui,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon Reisui,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon Reisui,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea foof katsura,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea foof katsura,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea foof katsura,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Taco,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Taco,,,,,,,,,,,,,,,RECIPE,,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Taco,INGREDIENT,,,,,,,,,,,,,,QTY,,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Sake,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Sake,,,,,,,,,,,,,,,RECIPE,,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Sake,INGREDIENT,,,,,,,,,,,,,,QTY,,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Ebi,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Ebi,,,,,,,,,,,,,,,RECIPE,,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Ebi,INGREDIENT,,,,,,,,,,,,,,QTY,,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Kani,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Kani,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Kani,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toki Salmon,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toki Salmon,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toki Salmon,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan uni,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan uni,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan uni,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Ikura,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Ikura,,,,,,,,,,,,,,,RECIPE,,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Ikura,INGREDIENT,,,,,,,,,,,,,,QTY,,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Arcoiris,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Arcoiris,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunkan Arcoiris,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotate Trufado,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotate Trufado,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotate Trufado,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negui Hama,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negui Hama,,,,,,,,,,,,,,,RECIPE,,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negui Hama,INGREDIENT,,,,,,,,,,,,,,QTY,,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iku sake,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iku sake,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iku sake,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makano,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makano,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makano,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pesca Blanca,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pesca Blanca,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pesca Blanca,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blu fin toro,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blu fin toro,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blu fin toro,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuna,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuna,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuna,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamachi,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamachi,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamachi,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Roll Crab,1,,,,,,,,,,,,,,MENU CATEGORY:,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Roll Crab,,,,,,,,,,,,,,,RECIPE,AS PURCHASED,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Roll Crab,INGREDIENT,,,,,,,,,,,,,,QTY,QTY,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Roll Salmon,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Roll Salmon,,,,,,,,,,,,,,,RECIPE,,INVOICE,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Roll Salmon,INGREDIENT,,,,,,,,,,,,,,QTY,,COST,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Roll Hamachi,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Roll Hamachi,INVOICE,,,,,,,,,,,,,,RECIPE,,,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Roll Hamachi,COST,,,,,,,,,,,,,,QTY,,,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Roll Tuna,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Roll Tuna,,,,,,,,,,,,,,,RECIPE,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Roll Tuna,UNIT,,,,,,,,,,,,,,QTY,,,,COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passion roll,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passion roll,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passion roll,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter Truffle,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter Truffle,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter Truffle,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pangora Especial,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pangora Especial,INVOICE,,,,,,,,,,,,,,RECIPE,,,,INDIVIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pangora Especial,COST,,,,,,,,,,,,,,QTY,,,UNIT,INGREDIENT COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumbaya,1,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumbaya,,,,,,,,,,,,,,,RECIPE,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumbaya,UNIT,,,,,,,,,,,,,,QTY,,,,COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy tuna,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy tuna,,,,,,,,,,,,,,,RECIPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS PURCHASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy tuna,UNIT,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samurai ebi,,,,,,,,,,,,,,,MENU CATEGORY:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sushi Special rolls Rolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
